"Name","Director","Actor","LimitAge","Country","Brief","Image","ReleaseDate","EndDate","Duration"
"CÔNG TỬ BẠC LIÊU (T13)",": Lý Minh Thắng",": Song Luân, NSƯT Thành Lộc, Kaity Nguyễn, Đoàn Thiên Ân, Công Dương, NS Thanh Thủy, NSƯT Hữu Châu,...","T13 TEEN","Việt Nam","Lấy cảm hứng từ giai thoại nổi tiếng của nhân vật được mệnh danh là thiên hạ đệ nhất chơi ngông, Công Tử Bạc Liêu là bộ phim tâm lý hài hước, lấy bối cảnh Nam Kỳ Lục Tỉnh xưa của Việt Nam. BA HƠN - Con trai được thương yêu hết mực của ông Hội đồng Lịnh vốn là chủ ngân hàng đầu tiên tại Việt Nam, sau khi du học Pháp về đã sử dụng cả gia sản của mình vào những trò vui tiêu khiển, ăn chơi trác tán – nên được người dân gọi bằng cái tên Công Tử Bạc Liêu.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Fcong-tu-bac-lieu-payoff.jpg&w=3840&q=50",": Thứ Hai, 02/12/2024","","113"
"LINH MIÊU: QUỶ NHẬP TRÀNG (T18)",": Lưu Thành Luân",": Hồng Đào, Nguyễn Thúc Thùy Tiên, Thiên An,...","T18 ADULT","Việt Nam","Linh Miêu: Quỷ Nhập Tràng lấy cảm hứng từ truyền thuyết dân gian về “quỷ nhập tràng” để xây dựng cốt truyện. Phim lồng ghép những nét văn hóa đặc trưng của Huế như nghệ thuật khảm sành - một văn hóa đặc sắc của thời nhà Nguyễn, đề cập đến các vấn đề về giai cấp và quan điểm trọng nam khinh nữ. Đặc biệt, hình ảnh rước kiệu thây ma và những hình nhân giấy không chỉ biểu trưng cho tai ương hay điềm dữ mà còn là hiện thân của nghiệp quả.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F11-2024%2Flinh-mieu-official.png&w=3840&q=50",": Thứ Bảy, 09/11/2024","","110"
"TẾT ÂM HỒN (T18)",": Hanny Saputra",": Donny Alamsyah, Fauzan Nasrul, Anantya Kirana","T18 ADULT","Khác","Tết Âm Hồn, thời khắc để quỷ dữ trở về, đêm mà tội ác hiện hình. Ibrahim nhận nhiệm vụ mai táng cho 4 thi thể không còn nguyên vẹn bởi lời đồn về bùa ngải đen tối. Những con quỷ từ địa ngục trở về trong Tết Âm Hồn sẽ khiêu khích niềm tin của Ibrahim và gieo khiếp sợ bằng những cái chết gây ám ảnh cho cả ngôi làng.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Ftet-am-hon-poster.jpg&w=3840&q=50",": Thứ Năm, 05/12/2024","","100"
"CHIẾN ĐỊA TỬ THI (T18)",": Kongkiat Komesiri",": Nonkul, Awat Ratanapintha, Supitcha Sangkhachinda, Akkarat Nimitchai, Thawatchanin Darayon, Thanadol Auepong, Guntapat Kasemsan Na Ayudhya, Seigi Ohzeki.","T18 ADULT","Thái lan","Chiến Địa Tử Thi lấy bối cảnh miền Nam Thái Lan trong một cuộc xâm lược ít được biết đến của quân đội Nhật Bản thời kỳ Thế chiến 2. Mek (Nonkul) là một hạ sĩ quan trong quân đội Thái Lan mang tình yêu lớn với đất nước, sẵn sàng hy sinh thân mình vì đại cuộc. Ngược lại, người em trai Mok (Awat Rattanaphinta) là một chàng trai trẻ thích tự do, không bao giờ muốn trở thành một người lính như cha và anh trai mình. Đối với Mok, việc tham gia chiến tranh giống như vứt bỏ mạng sống một cách vô ích. Tuy nhiên, Mok không may bị nhiễm bệnh và biến thành một xác sống đói ăn, điên loạn tấn công con người. Cùng lúc đó, Mek nhận lệnh gia nhập một đơn vị bí ẩn của Nhật Bản để truy lùng những người bị nhiễm bệnh, anh nhận ra người em trai Mok nằm trong danh sách mục tiêu. Khi đứng giữa tình thân và sự an nguy của đất nước, Mek sẽ đưa ra lựa chọn như thế nào?","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F11-2024%2Fchien-dia-tu-thi.png&w=3840&q=50",": Thứ Bảy, 23/11/2024","","105"
"MÈO MA BÊ THA (K) PĐ",": Yōko Kuno, Nobuhiro Yamashita","","K KID","Nhật bản","Câu chuyện tình bạn của cô bé Karin - mồ côi Mẹ và bị Cha bỏ rơi - và một con mèo ma Anzu sống hơi lôi thôi nhưng rất cố gắng chữa lành vết thương tinh thần của cô bé.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Fmeo-ma-be-tha.jpg&w=3840&q=50",": Thứ Năm, 05/12/2024","","95"
"HÀNH TRÌNH CỦA MOANA 2 (2D) PĐ",": David G. Derrick Jr.",": Auli'i Cravalho, Dwayne Johnson, Alan Tudyk","P KID","Khác","“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F11-2024%2Fmoana-2-poster.png&w=3840&q=50",": Thứ Sáu, 29/11/2024","","100"
"HÀNH TRÌNH CỦA MOANA 2 (2D) LT",": David G. Derrick Jr.",": Auli'i Cravalho, Dwayne Johnson, Alan Tudyk","P KID","Khác","“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F11-2024%2Fmoana-2-poster.png&w=3840&q=50",": Thứ Sáu, 29/11/2024","","100"
"QUỶ TREO ĐẦU (T18)",": Bo Nipan Chawcharernpon",": Khun Chanon Ukkharachata, Nat Aniporn Chalermburanawong, Jack Jarupong Kluaymaingam","T18 ADULT","Thái lan","Petai & Nicha - cặp đôi trẻ đẹp liên tục bị quấy phá sau khi chuyển đến ngôi nhà gia truyền của Nicha.Từ những tiếng động cót két chói tai đến những cái chết mất xác; tất cả đều xuất phát từ một lời nguyền cổ xưa ma quái.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F11-2024%2Fquy-treo-dau.jpg&w=3840&q=50",": Thứ Sáu, 29/11/2024","","97"
"WICKED (K)",": Jon M. Chu",": Cynthia Erivo, Ariana Grande, Jonathan Bailey","K KID","Khác","Cho dù là tiểu thư xinh đẹp Galinda hay phù thủy da xanh Elphaba thì ai cũng có một giấc mơ của riêng mình. Xem ngay trailer của bom tấn điện ảnh màu nhiệm bậc nhất màn bạc mùa lễ hội WICKED! WICKED","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F11-2024%2Fwicked-official-poster.jpg&w=3840&q=50",": Thứ Sáu, 29/11/2024","","161"
"TRAPEZIUM (T13)","","","T13 TEEN","Nhật bản","TRAPEZIUM - Giấc mơ thần tượng bắt đầu! Cùng theo chân cô gái nhỏ với khát khao tỏa sáng trên sân khấu, nhưng liệu hành trình ấy có phải chỉ toàn ánh hào quang? Những bí mật, những bất ngờ và cả những thử thách chờ đợi phía trước!","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Ftrapezium.jpg&w=3840&q=50",": Thứ Năm, 05/12/2024","","102"
"BLUE PERIOD (T16)",": Kentaro Hagiwara",": Gordon Maeda; Fumiya Takahashi; Rihito Itagaki; Hiyori Sakurada","T16 TEEN","Nhật bản","Dựa trên bộ manga ăn khách cùng tên của tác giả Yamaguchi Tsubasa đã chiến thắng giải Manga Taisho năm 2020. Dưới vỏ bọc của một nam sinh xuất sắc, Yatora Yaguchi luôn cố gắng hết sức để làm hài lòng mọi người. Cậu chưa bao giờ cảm thấy mình thật sự đang sống cho đến khi cậu bắt đầu vẽ bức tranh về khung cảnh sáng sớm dưới màu xanh huyền ảo tại Shibuya. Lần đầu tiên trong cuộc đời tăm tối của mình, Yatora nhận ra được nhịp đập trái tim mạnh mẽ dành cho hội họa và nghệ thuật. ""Tôi không phải thiên tài, nhưng tôi sẽ phấn đấu cho đến khi trở thành thiên tài!""","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F11-2024%2Fblue-period.jpg&w=3840&q=50",": Thứ Hai, 25/11/2024","","115"
"CƯỜI XUYÊN BIÊN GIỚI (T13) PĐ",": KIM Chang-ju",": Ryu Seung-ryong , Jin Sun-kyu, Igor Rafael P EDROSO, Luan B RUM DE ABREU E LIMA, JB João Batista GOMES DE O LIVEIRA, Yeom Hye-ran và Go Kyoung- pyo, Lee Soon-won","T13 TEEN","Hàn quốc","Cười Xuyên Biên Giới kể về hành trình của Jin-bong (Ryu Seung-ryong) - cựu vô địch bắn cung quốc gia, sau khi nghỉ hưu, anh đã trở thành một nhân viên văn phòng bình thường. Đứng trước nguy cơ bị sa thải, Jin-bong phải nhận một nhiệm vụ bất khả thi là bay đến nửa kia của trái đất trong nỗ lực tuyệt vọng để sinh tồn. Sống sót sau một sự cố đe doạ tính mạng, Jin-bong đã “hạ cánh” xuống khu rừng Amazon, nơi anh gặp bộ ba thổ dân bản địa có kỹ năng bắn cung thượng thừa: Sika, Eeba và Walbu. Tin rằng đã tìm ra cách để tự cứu mình, Jin-bong hợp tác với phiên dịch ngáo ngơ Bbang-sik (Jin Sun-kyu) và đưa ba chiến thần cung thủ đến Hàn Quốc cho một nhiệm vụ táo bạo.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F11-2024%2Fcuoi-xuyen-bien-gioi-official-poster.png&w=3840&q=50",": Thứ Sáu, 15/11/2024","","113"
"XÍCH: TRÓI HỒN YỂM XÁC (T18)",": Pang Chun Chan",": Carlos Chan, Esther Huang, Tào Hữu Ninh","T18 ADULT","Khác","Mỗi ngôi trường đều có những lời đồn và truyền thuyết đáng sợ riêng. Học viện Đức Dục vốn từng bị phát xít Nhật chiếm đóng lại càng thu hút nhiều tò mò khi có lời đồn nơi đây tồn tại hàng trăm oán hồn thường khóc lóc inh ỏi mỗi khi đêm xuống.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Fxich.jpg&w=3840&q=50",": Thứ Sáu, 13/12/2024","","81"
"KRAVEN - THỢ SĂN THỦ LĨNH",": J. C. Chandor",": Aaron Taylor-Johnson, Russell Crowe, Fred Hechinger","T18 ADULT","Khác","Gã nhập cư Nga Sergei Kravinoff đang thực hiện nhiệm vụ chứng minh rằng anh ta là thợ săn vĩ đại nhất thế giới.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Fkraven-official-poster.jpg&w=3840&q=50",": Thứ Sáu, 13/12/2024","","119"
"GÁI NGỐ GẶP MA LẦY (T16)",": Kim Min-ha",": Kim Do-yeon, Eunseo, Jeong Ha-dam, Kang Shin-hee","T16 TEEN","Khác","Một nhóm bạn tình cờ tìm thấy một cuốn băng video bí ẩn cũ từ năm 1998 trong tủ của phòng phát thanh của trường. Họ phát hiện ra nếu chiến thắng trò chơi trốn tìm với con ma bị nguyền rủa vào đêm kỷ niệm ngày thành lập trường, họ sẽ nhận được điểm cao trong kỳ thi tuyển sinh đại học. Bần cùng nên làm liều, họ thực hiện các nghi thức như trong cuốn băng bí ẩn. Thế nhưng những hiện tượng ngộ - lạ và ối giồi ôi bắt đầu xảy ra với tất cả bọn họ. Truyền thuyết học đường giờ đây không còn là câu chuyện hư cấu mà đã trở thành tấn hài kịch bao trùm lấy họ.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Fgai-ngo-gap-ma-lay-poster.jpg&w=3840&q=50",": Thứ Sáu, 13/12/2024","","91"
"CHỊ DÂU (T16)",": Khương Ngọc",": Việt Hương, Hồng Đào, Lê Khánh, Đinh Y Nhung, Ngọc Trinh","T16 TEEN","Việt Nam","Chuyện bắt đầu khi bà Nhị - con dâu cả của gia đình quyết định nhân dịp đám giỗ của mẹ chồng, tụ họp cả bốn chị em gái - con ruột trong nhà lại để thông báo chuyện sẽ tự bỏ tiền túi ra sửa sang căn nhà từ đường cũ kỹ trước khi bão về. Vấn đề này khiến cho nội bộ gia đình bắt đầu có những lục đục, chị dâu và các em chồng cũng xảy ra mâu thuẫn, bất hoà. Dần dà những sự thật đằng sau việc ""bằng mặt mà không bằng lòng"" giữa các chị em cũng dần được hé lộ, những bí mật, nỗi đau sâu thẳm nhất trong mỗi cá nhân cũng dần được bóc tách. Liệu sợi dây liên kết vốn đã mong manh giữa các chị em có bị cắt đứt và liệu “căn nhà” vốn đã dột nát ấy có còn nguyên vẹn sau cơn bão lớn?","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Fchi-dau.png&w=3840&q=50",": Thứ Sáu, 20/12/2024","","100"
"MUFASA: VUA SƯ TỬ (3D) PĐ",": Barry Jenkins, Aaron Pierre, Kelvin Harrison, Jr. Seth Rogen",": Mads Mikkelsen","P KID","Khác","Theo chân Simba - vị vua mới của muôn loài khám phá về nguồn gốc người cha quá cố Mufasa.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Fmufasa-vua-su-tu.png&w=3840&q=50",": Thứ Sáu, 20/12/2024","","99"
"MUFASA: VUA SƯ TỬ (2D) LT",": Barry Jenkins, Aaron Pierre, Kelvin Harrison, Jr. Seth Rogen",": Mads Mikkelsen","P KID","Khác","Theo chân Simba - vị vua mới của muôn loài khám phá về nguồn gốc người cha quá cố Mufasa.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Fmufasa-vua-su-tu.png&w=3840&q=50",": Thứ Sáu, 20/12/2024","","99"
"MUFASA: VUA SƯ TỬ (2D) PĐ",": Barry Jenkins, Aaron Pierre, Kelvin Harrison, Jr. Seth Rogen",": Mads Mikkelsen","P KID","Khác","Theo chân Simba - vị vua mới của muôn loài khám phá về nguồn gốc người cha quá cố Mufasa.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Fmufasa-vua-su-tu.png&w=3840&q=50",": Thứ Sáu, 20/12/2024","","99"
"KÍNH VẠN HOA",": Võ Thanh Hòa",": Phương Duyên, Hùng Anh, Nhật Linh,...","T13 TEEN","Việt Nam","Tác phẩm tuổi thơ hàng triệu người do nhà văn Nguyễn Nhật Ánh chắp bút, từng chuyển thể thành công thành phim truyền hình kinh điển những năm 2000 nay đã lên màn ảnh rộng.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Fkinh-van-hoa.png&w=3840&q=50",": Thứ Sáu, 27/12/2024","","99"
"NHÍM SONIC 3",": Jeff Fowler",": Ben Schwartz, Colleen O'Shaughnessey, Idris Elba.","P KID","Khác","Sonic, Knuckles và Tails phải đối mặt với một kẻ thù mới cực kỳ mạnh mẽ là Shadow - một nhân vật phản diện bí ẩn với sức mạnh không giống bất kỳ đối thủ nào họ từng đối mặt trước đây. Bị áp đảo về năng lực, Sonic phải lên đường thành lập một liên minh to lớn hơn.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Fsonic-3.png&w=3840&q=50",": Thứ Sáu, 27/12/2024","","99"
"CHUYỆN NHÀ BÁNH XẾP","","","T13 TEEN","Hàn quốc","","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2Fchuyen-nha-banh-xep.png&w=3840&q=50",": Thứ Sáu, 27/12/2024","","99"
"404 CHẠY NGAY ĐI","","","T16 TEEN","Thái lan","","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F12-2024%2F404-chay-ngay-di.png&w=3840&q=50",": Thứ Sáu, 27/12/2024","","99"
"YÊU NHẦM BẠN THÂN",": Nguyễn Quang Dũng, Diệp Thế Vinh",": Kaity Nguyễn, Trần Ngọc Vàng, Thanh Sơn","T18 ADULT","Việt Nam","Yêu Nhầm Bạn Thân tung firstlook bộ ba Kaity Nguyễn, Trần Ngọc Vàng, Thanh Sơn, chính thức hé lộ drama tình yêu xoay hơn chong chóng.","/_next/image/?url=https%3A%2F%2Fapi-website.cinestar.com.vn%2Fmedia%2Fwysiwyg%2FPosters%2F01-2025%2F470x700.png&w=3840&q=50",": Thứ Tư, 29/01/2025","","99"
